               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.014208,           0.0047225,           0.0027999,             0.99409,             0.99799,             0.99376,              0.9176,            0.008326,           0.0027569,          0.00077984,            0.006634,            0.006634,            0.006634
                  36,            0.014077,           0.0046281,           0.0023606,             0.99437,             0.99828,              0.9938,             0.91866,           0.0082098,           0.0027248,          0.00073691,            0.006535,            0.006535,            0.006535
                  37,            0.013962,           0.0047206,           0.0026074,             0.99326,             0.99786,             0.99347,              0.9163,           0.0082483,           0.0027388,          0.00073623,            0.006436,            0.006436,            0.006436
                  38,            0.013922,            0.004611,           0.0024309,             0.99354,             0.99734,             0.99368,             0.91734,           0.0081459,           0.0027119,          0.00075571,            0.006337,            0.006337,            0.006337
                  39,            0.013815,           0.0045885,           0.0022303,             0.99336,             0.99796,             0.99358,             0.91952,           0.0079935,           0.0026597,           0.0007089,            0.006238,            0.006238,            0.006238
                  40,            0.013494,           0.0045301,            0.002022,             0.99386,             0.99739,             0.99357,             0.92202,           0.0079569,           0.0026621,          0.00070196,            0.006139,            0.006139,            0.006139
                  41,            0.013553,           0.0044802,           0.0021376,             0.99441,             0.99878,             0.99374,             0.92244,           0.0079195,           0.0026477,          0.00066056,             0.00604,             0.00604,             0.00604
                  42,             0.01336,           0.0044789,           0.0020185,             0.99477,             0.99868,             0.99398,              0.9232,            0.007878,           0.0026211,          0.00065422,            0.005941,            0.005941,            0.005941
                  43,            0.013404,           0.0044358,           0.0023034,             0.99429,              0.9986,              0.9937,             0.92349,            0.007834,           0.0026176,          0.00065925,            0.005842,            0.005842,            0.005842
                  44,            0.013247,           0.0045243,           0.0022813,             0.99368,              0.9984,             0.99387,             0.92512,           0.0078587,           0.0026171,          0.00063846,            0.005743,            0.005743,            0.005743
                  45,            0.013033,           0.0044253,           0.0021098,             0.99499,             0.99818,             0.99371,             0.92686,           0.0077139,           0.0025767,          0.00061008,            0.005644,            0.005644,            0.005644
                  46,            0.013116,           0.0043714,           0.0023235,             0.99496,             0.99836,              0.9939,             0.92741,           0.0076827,           0.0025701,          0.00060988,            0.005545,            0.005545,            0.005545
                  47,            0.012935,           0.0043558,           0.0017886,             0.99534,             0.99854,             0.99394,             0.92878,           0.0076112,           0.0025347,          0.00059096,            0.005446,            0.005446,            0.005446
                  48,            0.012825,           0.0042398,            0.001842,             0.99533,             0.99881,             0.99389,             0.92943,           0.0075376,           0.0025152,          0.00057667,            0.005347,            0.005347,            0.005347
                  49,            0.012764,           0.0043017,           0.0017988,             0.99552,             0.99873,             0.99388,             0.92942,           0.0074987,           0.0025108,          0.00056274,            0.005248,            0.005248,            0.005248
                  50,            0.012584,           0.0042512,           0.0018408,             0.99538,             0.99928,             0.99397,             0.93061,            0.007411,           0.0024849,          0.00054997,            0.005149,            0.005149,            0.005149
                  51,            0.012506,           0.0042693,           0.0017853,             0.99567,             0.99875,             0.99388,             0.93166,           0.0073676,           0.0024725,          0.00054392,             0.00505,             0.00505,             0.00505
                  52,            0.012567,           0.0042699,           0.0016907,             0.99536,             0.99914,             0.99397,              0.9318,           0.0073558,           0.0024688,          0.00059125,            0.004951,            0.004951,            0.004951
                  53,            0.012372,           0.0042079,           0.0016565,             0.99499,             0.99884,             0.99386,             0.93287,           0.0072895,            0.002454,          0.00052809,            0.004852,            0.004852,            0.004852
                  54,            0.012246,            0.004119,           0.0016943,             0.99519,             0.99914,             0.99384,             0.93469,           0.0072503,           0.0024345,          0.00052304,            0.004753,            0.004753,            0.004753
                  55,            0.012104,           0.0041321,           0.0015289,             0.99542,             0.99902,             0.99376,             0.93535,           0.0072005,            0.002417,          0.00050167,            0.004654,            0.004654,            0.004654
                  56,             0.01211,           0.0040896,            0.001614,             0.99582,             0.99923,             0.99376,             0.93577,           0.0071671,           0.0024006,          0.00049372,            0.004555,            0.004555,            0.004555
                  57,            0.012065,           0.0041267,           0.0014846,             0.99596,             0.99932,             0.99379,             0.93542,           0.0071569,           0.0023867,          0.00047965,            0.004456,            0.004456,            0.004456
                  58,            0.011865,           0.0041312,           0.0014365,              0.9958,             0.99957,              0.9938,             0.93655,           0.0071189,           0.0023769,          0.00047097,            0.004357,            0.004357,            0.004357
                  59,            0.011794,           0.0040944,           0.0015044,             0.99588,             0.99945,             0.99386,             0.93694,           0.0070744,           0.0023654,          0.00045548,            0.004258,            0.004258,            0.004258
